@    title "Electric Field Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time      Magnitude                     Efield_X                      Efield_Y                     Efield_Z                   Direction
@type xy
100       -1.451345977783e+02           -1.310668334961e+02           -6.221474838257e+01           3.855112552643e+00            -1.0
200       -1.467300262451e+02           -1.299833831787e+02           -6.719610595703e+01           1.089518165588e+01            -1.0
300       -1.196619949341e+02           -1.121496963501e+02           -3.933853912354e+01           -1.392542552948e+01           -1.0
400       -1.416332244873e+02           -1.368515319824e+02           -3.583121109009e+01           -6.910421848297e+00           -1.0
500       -1.460359954834e+02           -1.054878082275e+02           -9.926313018799e+01           1.859202003479e+01            -1.0
600       -1.585173492432e+02           -1.409955902100e+02           -7.097973632812e+01           -1.448686122894e+01           -1.0
700       -1.291639556885e+02           -9.989834594727e+01           -8.183029937744e+01           2.729847431183e+00            -1.0
800       -1.405163269043e+02           -1.227827224731e+02           -6.828497314453e+01           -2.530767917633e+00           -1.0
900       -1.212042312622e+02           -1.054461975098e+02           -5.807941055298e+01           1.408357334137e+01            -1.0
1000      -1.397378845215e+02           -1.270171813965e+02           -5.824623870850e+01           -8.305680751801e-01           -1.0
1100      -1.342708129883e+02           -1.186529312134e+02           -6.133578491211e+01           1.371333122253e+01            -1.0
1200      -1.215599441528e+02           -1.100398559570e+02           -5.165069580078e+01           -5.057193040848e-01           -1.0
1300      -1.280290832520e+02           -1.071850128174e+02           -6.949377441406e+01           8.569494247437e+00            -1.0
1400      -1.242979660034e+02           -9.899223327637e+01           -7.477777862549e+01           7.668539524078e+00            -1.0
1500      -1.205140686035e+02           -1.090257720947e+02           -5.120604705811e+01           3.868196249008e+00            -1.0
1600      -1.229375152588e+02           -1.062946472168e+02           -6.165114212036e+01           3.770678997040e+00            -1.0
1700      -1.477387695312e+02           -1.292856445312e+02           -7.083734130859e+01           9.697270393372e+00            -1.0
1800      -1.489950866699e+02           -1.278590698242e+02           -7.649076843262e+01           8.692753314972e-01            -1.0
1900      -1.595288238525e+02           -1.450789031982e+02           -6.634352111816e+01           3.070308566093e-01            -1.0
2000      -1.391283721924e+02           -1.131705856323e+02           -7.653967285156e+01           2.628308105469e+01            -1.0
2100      -1.527210388184e+02           -1.229449310303e+02           -8.975153350830e+01           1.236624336243e+01            -1.0
2200      -1.206423187256e+02           -9.801286315918e+01           -7.032678985596e+01           -1.479845166206e+00           -1.0
2300      -1.587094879150e+02           -1.429504547119e+02           -6.885488891602e+01           3.588278532028e+00            -1.0
2400      -1.279779052734e+02           -1.092275848389e+02           -6.208205413818e+01           2.436182022095e+01            -1.0
2500      -1.457152557373e+02           -1.214173126221e+02           -7.240460205078e+01           3.533190536499e+01            -1.0
2600      -1.496132812500e+02           -1.186058425903e+02           -9.093288421631e+01           6.928259372711e+00            -1.0
2700      -1.317899322510e+02           -1.220939331055e+02           -4.949848175049e+01           3.399734497070e+00            -1.0
2800      -1.411748046875e+02           -1.198414154053e+02           -7.374218750000e+01           1.142154693604e+01            -1.0
2900      -1.468134307861e+02           -1.276491088867e+02           -7.136000823975e+01           1.294740676880e+01            -1.0
3000      -1.365064392090e+02           -1.262611312866e+02           -4.691671371460e+01           2.215758705139e+01            -1.0
3100      -1.396630706787e+02           -1.289540863037e+02           -5.354113769531e+01           -3.156634092331e+00           -1.0
3200      -1.384545593262e+02           -1.273849258423e+02           -5.381520843506e+01           6.831498622894e+00            -1.0
3300      -1.354838867188e+02           -1.051612014771e+02           -8.162437438965e+01           2.518862724304e+01            -1.0
3400      -1.653161010742e+02           -1.507459716797e+02           -6.711899566650e+01           1.000534439087e+01            -1.0
